Country,State,Year,Month,Calendar Day,City,Quality Of Air,"Index Value Of Air (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Anatapur,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Chittor,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Eluru,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Guntur,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kadapa,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kakinada,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kurnool,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Nellore,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ongole,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Srikakulam,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Vizianagaram,Satisfactory,78
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Itanagar,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bongaigaon,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Daranga,Satisfactory,51
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Dibrugarh,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Golaghat,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Magherita,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Nagaon,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Nalbari,Satisfactory,79
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,North Lakhimpur,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Silcher,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Sivasagar,Satisfactory,68
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Tezpur,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Tinsukia,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bilaspur,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Durg-Bhillainagar,,
